PART NUMBER	NAME	MAKE/MODEL	CATEGORY
90126-12010	Knucle stud	LAND CRUISER 70 Series	Genuine
16100-39486	Water Pump	1KD/2KD	Digue
PT-152	Heater Plugs	LAND CRUISER 79 3L/5L	555(Japan)
47550-60120	Wheel cylinder	LAND CRUISER 79	555(Japan)
04434-60080	Front Axle Gasket Kit	LAND CRUISER 75 Tourist	Genuine
M087H	Main Bearing(0.25)	TD23/TD25/TD27	All Parts
200701	Release Bearing	LAND CRUISER 70 Series	Nachi
APO72	Brake Pads	1HZ	All Parts
4094w	Axle bearing (without con)	1HZ	Koyo japan
SE-2752	Tie Rod	LAND CRUISER 79	All Parts
90311-50051	Seal(Front crunk shaft seal)	1KD/2KD	Koyo japan
53510-60220	Bonnet Lock	LAND CRUISER 79	Genuine
33368-35040	synchronizer ring (No 4 old)	1HZ	Genuine
220-40582	Clutch kit Lower	5L/3L	Genuine
90311-32020	Seal(Cam shaft)	3L/5L 1HZ	Taiho
48706-60030	Hard Pan Bush	LAND CRUISER 70 Series	RBI
33037-35030	Ring Synchronizer (No 1)	1HZ	Genuine
23303-64019	Oil Filter	LAND CRUISER 79 3L	OSK
90214-42030	Stopper axle Washer	LAND CRUISER 79	GMB Japan
13711-54040	Exhaust Valve	1HZ	Genuine
15121-54020	Oil Gear	3L/5L	Aisin
90311-38047	Seal (diff)	LAND CRUISER 70 Series	Genuine
CTX-073	Pressure Plate	3L	Japan(Aisin)
R720AI	Con Bearing(0.50)	7L	Taiho
