PART NUMBER	NAME	MAKE/MODEL	CATEGORY
53420-60100	bonnet hinge	LAND CRUISER 79 Left hand)	GMB Japan
R720AI	Con Bearing(0.50)	1KD/2KD/1KZ	Genuine
13041-17011-02	Con Bearing(STD)	Prado 1KD	Genuine
T037A	Thrust washer(0.25)	Prado 1KD	Taiho
R039A	Con Bearing(STD)	3L/5L/2L	MK
T729A	Thrust washer(0.25)	1TR/2TR	OSK
104948/10	Big Hub Bearing	LAND CRUISER 70 Series	Koyo japan
90311-62001	Seal (Hub)	LAND CRUISER 79	Genuine
R039A	Con Bearing(STD)	Prado 1KD	Taiho
13711-54020	Intake Valve	HIACE 3L/79(IHZ)	OSK
33362-60031	hub	5L/3L	Genuine
PT-157	Heater Plugs	Prado 1KD	Japan
90311-48010	Seal (Gear transfer Rear seal)	LAND CRUISER 70 Series	Genuine
12371-17080	Gearbox mounting	LAND CRUISER 79	OSK
16361-17040	Fun	LAND CRUISER 79	GMB Japan
48531-80547	Shock Absorber(Rear)	5L/3L	Genuine
43401-60080	Stopper Axle	LAND CRUISER 79	Aisin
90385-18007	Rubber Spring Bush	Prado 1KD	Genuine
90915-03002	Oil Filter	1KD/2KD	Taiho
T729A	Thrust washer(STD)	1TR/2TR	555(Japan)
69801-60030	Welding Machine(right hand)(automatic)	LAND CRUISER 79	OSK
R039A	Con Bearing(0.50)	Prado 1KD	Taiho
R729A	Con Bearing(0.50)	1TR/2TR	OSK
T720A	Thrust washer(0.25)	LAND CRUISER 75 Tourist	Taiho
30304AJR	B	LAND CRUISER 79	Koyo japan
23390-51030	Fuel Filter	LAND CRUISER 79 New Model	555(Japan)
04311-6100	Upper clutch kit	LAND CRUISER 79	GMB Japan
90364-38011	Needle Bearing(gear)	LAND CRUISER 79	Taiho
KD2605	Brake Pads	7L	OSK
M720AI	Main Bearing(0.25)	1KD/2KD/1KZ	555(Japan)
69820-60300	Welding Machine	LAND CRUISER 79	Genuine
04493-60300	BMC kit	LAND CRUISER 79	Aisin
13715-30030	Exhaust Valve	1KD	GMB Japan
43401-60080	Stopper Axle	LAND CRUISER 70 Series	Japan
48674-26040	Control Arm Bush(0.50)	7L	Genuine
31250-60432	Clutch plate	Prado 1KD	Genuine
R729A	Con Bearing(STD)	1TR/2TR	All Parts
T720A	Thrust washer(STD)	1KD/2KD/1KZ	OSK
90311-32012	Seal (Top shaft seal)	LAND CRUISER 79	555(Japan)
23390-0L041	Fuel Filter	1KD/2KD	OSK
